OrderDate,ProductKey,Region,Amount
2023-01-01,1,North,25.50
2024-02-02,2,South,62.50
2025-03-03,3,East,99.50
2023-04-04,4,West,136.50
2024-05-05,1,North,173.50
2025-06-06,2,South,210.50
2023-07-07,3,East,247.50
2024-08-08,4,West,284.50
2025-09-09,1,North,321.50
2023-10-10,2,South,358.50
2024-11-11,3,East,395.50
2025-12-12,4,West,432.50
2023-01-13,1,North,469.50
2024-02-14,2,South,506.50
2025-03-15,3,East,543.50
2023-04-16,4,West,580.50
2024-05-17,1,North,617.50
2025-06-18,2,South,654.50
2023-07-19,3,East,691.50
2024-08-20,4,West,728.50
2025-09-21,1,North,765.50
2023-10-22,2,South,802.50
2024-11-23,3,East,839.50
2025-12-24,4,West,876.50
2023-01-25,1,North,913.50
2024-02-26,2,South,50.50
2025-03-27,3,East,87.50
2023-04-01,4,West,124.50
2024-05-02,1,North,161.50
2025-06-03,2,South,198.50
2023-07-04,3,East,235.50
2024-08-05,4,West,272.50
2025-09-06,1,North,309.50
2023-10-07,2,South,346.50
2024-11-08,3,East,383.50
2025-12-09,4,West,420.50
2023-01-10,1,North,457.50
2024-02-11,2,South,494.50
2025-03-12,3,East,531.50
2023-04-13,4,West,568.50
